AbsPath,FileType,FileSize,LastModified,LastAccess,CreatedTime,SHA-256 HASH
c:\testFiles\CalorieCycling.pdf,File,19923157,2022-09-07 01:00:39,2022-07-12 15:51:23,2022-08-31 14:14:05,88496297aa8828093b26b640f222f06df9eec748c7348f3a14aa6d999c307d8e5f1fd7fd87794f861cb87a168506267b381d4e4d492b168ad641634d253408dd
c:\testFiles\change.log,File,1573,2022-09-08 14:47:38,2022-08-29 22:15:04,2022-08-29 22:15:04,5b61f18699912d5f0bdf41de4e371cd7408159a994e1e0cb789785b543bba65090c6fc71a8e4879c04dc07b20f5314a45b3ca5001116994906eb9ef5d856f06d
c:\testFiles\CYBV326_Week2_Exercise.txt,File,0,2022-09-01 16:39:02,2022-09-01 16:39:02,2022-09-01 16:39:02,cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e
c:\testFiles\Jessies_Girls_MB2 (3).pdf,File,2008033,2022-09-07 01:00:39,2022-06-29 12:42:53,2022-08-31 14:14:13,d96e0b94b8d3b5eb0c775cc86fbc562af0d95cb85168f5845ef9ed43b6a034cc8f5a7ce208233df2f638875f93edbcad5fb01fd288f79a49a24fbc53bc279a33
c:\testFiles\Phase-1-Dumbbell-Only-4-xweek.pdf,File,1383938,2022-09-07 01:00:39,2022-05-12 18:49:21,2022-09-01 15:15:55,6581cae6d1b9828b90337bd87386dc19073efd9404f3c2dacffa000c53f27c330a6395b2939a91a40e32902a2ecbc841b92606048c9bc3750531ce253178e0d0
c:\testFiles\Skipper-Kristin-WK1.txt,File,3763,2022-09-07 01:00:39,2022-08-29 22:14:43,2022-08-29 22:14:43,3eb87c20ae9674abba925f3cbcdb78279d892bf0b586f5bf7517cfb5a46242ae2603058ddf2ede34862220957d9431bc1397bfd00e4154e51ac016efc6ad8d40

